Heap-based Buffer Overflow in vim/vim,CVE-2022-0158,CWE-122: Heap-based Buffer Overflow,"  CheckDefAndScriptSuccess(lines)

  CheckDefAndScriptFailure([""var x = $$$""], ['E1002:', 'E15:'], 1)
  CheckDefAndScriptFailure([""$""], ['E1002:', 'E15:'], 1)
enddef

def Test_expr7_register()

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4049,
/**/
    4048,
/**/
    len = get_env_len(arg);
    if (len == 0)
    {
 semsg(_(e_syntax_error_at_str), start);
 return FAIL;
    }

"
Out-of-bounds Read in radareorg/radare2,CVE-2022-0173,CWE-125: Out-of-bounds Read,"  //delete all submaps that are completly included in sm
  RRBNode *next = r_rbnode_next (entry);
  // this can be optimized, there is no need to do search here
  bool a = r_crbtree_delete (bank->submaps, entry->data, _find_sm_by_from_vaddr_cb, NULL);
  if (!a) {
   break;
  }
  entry = next;
 }
 if (entry && r_io_submap_from (((RIOSubMap *)entry->data)) <= r_io_submap_to (sm)) {
"
Heap-based Buffer Overflow in vim/vim,CVE-2022-0213,CWE-122: Heap-based Buffer Overflow," p = NameBuff;
 len = (int)STRLEN(p);

 if ((bt_help(wp->w_buffer)
#ifdef FEAT_QUICKFIX
      || wp->w_p_pvw
#endif
      || bufIsChanged(wp->w_buffer)
      || wp->w_buffer->b_p_ro)
  && len < MAXPATHL - 1)
     *(p + len++) = ' ';
 if (bt_help(wp->w_buffer))
 {
  bwipe!
endfunc

"" Weird long file name was going over the end of NameBuff
func Test_edit_overlong_file_name()
  CheckUnix

  file 0000000000000000000000000000
  file %%%%%%%%%%%%%%%%%%%%%%%%%%
  file %%%%%%
  set readonly
  set ls=2 

  redraw!
  set noreadonly ls&
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4074,
/**/
    4073,
/**/
"
NULL Pointer Dereference in mruby/mruby,CVE-2022-0240,CWE-476: NULL Pointer Dereference,"{
  struct RClass *sc, *c;

  mrb_assert(o->c);
  if (o->c->tt == MRB_TT_SCLASS) return;
  sc = MRB_OBJ_ALLOC(mrb, MRB_TT_SCLASS, mrb->class_class);
  sc->flags |= MRB_FL_CLASS_IS_INHERITED;
    break;
  }
  obj = mrb_basic_ptr(v);
  if (obj->c == NULL) return NULL;
  prepare_singleton_class(mrb, obj);
  return obj->c;
}
"
Heap-based Buffer Overflow in vim/vim,CVE-2022-0261,CWE-122: Heap-based Buffer Overflow,"     if (b_insert)
     {
  off = (*mb_head_off)(oldp, oldp + offset + spaces);
  spaces -= off;
  count -= off;
     }
     else
     {
  // spaces fill the gap, the character that's at the edge moves
  // right
  off = (*mb_head_off)(oldp, oldp + offset);
  offset -= off;
     }


 }
 if (spaces < 0)  // can happen when the cursor was moved
     spaces = 0;

 // Make sure the allocated size matches what is actually copied below.
 newp = alloc(STRLEN(oldp) + spaces + s_len
      + (spaces > 0 && !bdp->is_short ? ts_val - spaces : 0)
          + count + 1);
 if (newp == NULL)
     continue;

 // copy up to shifted part
 mch_memmove(newp, oldp, (size_t)offset);
 oldp += offset;

 // insert pre-padding
 mch_memmove(newp + startcol, s, (size_t)s_len);
 offset += s_len;

 if (spaces > 0 && !bdp->is_short)
 {
     if (*oldp == TAB)
     {
  // insert post-padding
  vim_memset(newp + offset + spaces, ' ',
          (size_t)(ts_val - spaces));
  // we're splitting a TAB, don't copy it
  oldp++;
  // We allowed for that TAB, remember this now
  count++;
     }
     else
  // Not a TAB, no extra spaces
  count = spaces;
 }

 if (spaces > 0)
      oap->start_vcol = t;
  }
  else if (oap->op_type == OP_APPEND
   && oap->start.col + oap->start.coladd
    >= curbuf->b_op_start_orig.col
           + curbuf->b_op_start_orig.coladd)
  {
  au! BufNew
endfunc

func Test_visual_block_append_invalid_char()
  "" this was going over the end of the line
  new
  call setline(1, ['    let xxx', 'xxxxx', 'xxxxxxxxxxx'])
  exe ""normal 0\<C-V>jjA-\<Esc>""
  call assert_equal([' -   let xxx', 'xxxxx   -', 'xxxxxxxx-xxx'], getline(1, 3))
  bwipe!
endfunc

func Test_visual_reselect_with_count()
  "" this was causing an illegal memory access
  let lines =<< trim END

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4120,
/**/
    4119,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2022-0318,CWE-122: Heap-based Buffer Overflow," }

 if (has_mbyte && spaces > 0)
     // avoid copying part of a multi-byte character
     offset -= (*mb_head_off)(oldp, oldp + offset);
















 if (spaces < 0)  // can happen when the cursor was moved
     spaces = 0;

  call delete('XvisualReselect')
endfunc

func Test_visual_block_insert_round_off()
  new
  "" The number of characters are tuned to fill a 4096 byte allocated block,
  "" so that valgrind reports going over the end.
  call setline(1, ['xxxxx', repeat('0', 1350), ""\t"", repeat('x', 60)])
  exe ""normal gg0\<C-V>GI"" .. repeat('0', 1320) .. ""\<Esc>""
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4151,
/**/
    4150,
/**/
"
Out-of-bounds Read in vim/vim,CVE-2022-0319,CWE-125: Out-of-bounds Read,"  bwipe!
endfunc

"" this was causing an ml_get error
func Test_visual_exchange_windows()
  enew!
  new
  call setline(1, ['foo', 'bar'])
  exe ""normal G\<C-V>gg\<C-W>\<C-X>OO\<Esc>""
  bwipe!
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4154,
/**/
    4153,
/**/

    (void)win_comp_pos();  // recompute window positions

    if (wp->w_buffer != curbuf)
 reset_VIsual_and_resel();
    else if (VIsual_active)
 wp->w_cursor = curwin->w_cursor;

    win_enter(wp, TRUE);
    redraw_all_later(NOT_VALID);
}
win_alloc_lines(win_T *wp)
{
    wp->w_lines_valid = 0;
    wp->w_lines = ALLOC_CLEAR_MULT(wline_T, Rows);
    if (wp->w_lines == NULL)
 return FAIL;
    return OK;
"
NULL Pointer Dereference in mruby/mruby,CVE-2022-0326,CWE-476: NULL Pointer Dereference,"    }
  }
  if (update) {
    if (val && len > 0) {
      pop_n(len*2+1);
      genop_2(s, OP_HASHADD, cursp(), len);
      push();
    }
    return -1;                  /* variable length */
  }

  return len;
}

"
Access of Memory Location Before Start of Buffer in vim/vim,CVE-2022-0351,CWE-786: Access of Memory Location Before Start of Buffer," INIT(= N_(""E1043: Invalid command after :export""));
EXTERN char e_export_with_invalid_argument[]
 INIT(= N_(""E1044: Export with invalid argument""));
// E1045 not used
// E1046 not used
EXTERN char e_syntax_error_in_import_str[]
 INIT(= N_(""E1047: Syntax error in import: %s""));
EXTERN char e_item_not_found_in_script_str[]
// E1080 unused
EXTERN char e_cannot_unlet_str[]
 INIT(= N_(""E1081: Cannot unlet %s""));
// E1082 unused
EXTERN char e_missing_backtick[]
 INIT(= N_(""E1083: Missing backtick""));
EXTERN char e_cannot_delete_vim9_script_function_str[]
 INIT(= N_(""E1140: :for argument must be a sequence of lists""));
EXTERN char e_indexable_type_required[]
 INIT(= N_(""E1141: Indexable type required""));
// E1142 unused
EXTERN char e_empty_expression_str[]
 INIT(= N_(""E1143: Empty expression: \""%s\""""));
EXTERN char e_command_str_not_followed_by_white_space_str[]
 INIT(= N_(""E1167: Argument name shadows existing variable: %s""));
EXTERN char e_argument_already_declared_in_script_str[]
 INIT(= N_(""E1168: Argument already declared in the script: %s""));
EXTERN char e_expression_too_recursive_str[]
 INIT(= N_(""E1169: Expression too recursive: %s""));
EXTERN char e_cannot_use_hash_curly_to_start_comment[]
 INIT(= N_(""E1170: Cannot use #{ to start a comment""));
EXTERN char e_missing_end_block[]
    char_u *start_leader, *end_leader;
    int  ret = OK;
    char_u *alias;
    static int recurse = 0;

    /*
     * Initialise variable so that clear_tv() can't mistake this for a
 return FAIL;
    }

    // Limit recursion to 1000 levels.  At least at 10000 we run out of stack
    // and crash.
    if (recurse == 1000)
    {
 semsg(_(e_expression_too_recursive_str), *arg);
 return FAIL;
    }
    ++recurse;

    switch (**arg)
    {
    /*
     */
    if (ret == OK && evaluate && end_leader > start_leader)
 ret = eval7_leader(rettv, FALSE, start_leader, &end_leader);

    --recurse;
    return ret;
}

  unlet g:gvar
endfunc

func Test_deep_recursion()
  "" this was running out of stack
  call assert_fails(""exe 'if ' .. repeat('(', 1002)"", 'E1169: Expression too recursive: ((')
endfunc

"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4206,
/**/
    4205,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2022-0359,CWE-122: Heap-based Buffer Overflow,"    ccline.cmdindent = (firstc > 0 ? indent : 0);

    // alloc initial ccline.cmdbuff
    alloc_cmdbuff(indent + 50);
    if (ccline.cmdbuff == NULL)
 return FAIL;
    ccline.cmdlen = ccline.cmdpos = 0;
  call delete('Xexmodescript')
endfunc

func Test_ex_mode_large_indent()
  new
  set ts=500 ai
  call setline(1, ""\t"")
  exe ""normal gQi\<CR>.""
  set ts=8 noai
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4214,
/**/
    4213,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2022-0361,CWE-122: Heap-based Buffer Overflow,"    }

    appended_lines_mark(n, count);
    if (VIsual_active)
 check_pos(curbuf, &VIsual);

    msgmore((long)count);
}
  bwipe!
endfunc

"" this was leaving the end of the Visual area beyond the end of a line
func Test_visual_ex_copy_line()
  new
  call setline(1, [""aaa"", ""bbbbbbbbbxbb""])
  /x
  exe ""normal ggvjfxO""
  t0
  normal gNU
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4215,
/**/
    4214,
/**/
"
Out-of-bounds Read in vim/vim,CVE-2022-0368,CWE-125: Out-of-bounds Read,"  bwipe!
endfunc

"" This was leaving the end of the Visual area beyond the end of a line.
"" Set 'undolevels' to start a new undo block.
func Test_visual_undo_deletes_last_line()
  new
  call setline(1, [""aaa"", ""ccc"", ""dyd""])
  set undolevels=100
  exe ""normal obbbbbbbbbxbb\<Esc>""
  set undolevels=100
  /y
  exe ""normal ggvjfxO""
  undo
  normal gNU
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab
 }
    }
#endif
    if (VIsual_active)
 check_pos(curbuf, &VIsual);

    smsg_attr_keep(0, _(""%ld %s; %s #%ld  %s""),
     u_oldcount < 0 ? -u_oldcount : u_oldcount,

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4217,
/**/
    4216,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2022-0392,CWE-122: Heap-based Buffer Overflow,"      break;

  case PASTE_EX:
      // add one for the NUL that is going to be appended
      if (gap != NULL && ga_grow(gap, idx + 1) == OK)
      {
   mch_memmove((char *)gap->ga_data + gap->ga_len,
            buf, (size_t)idx);
  unlet! foo
  call feedkeys(""Qlet foo=\""\<Esc>[200~foo\<CR>bar\<Esc>[201~\""\<CR>vi\<CR>"", 'xt')
  call assert_equal(""foo\rbar"", foo)

  "" pasting more than 40 bytes
  exe ""norm Q\<PasteStart>0000000000000000000000000000000000000000000000000000000000000000000000\<C-C>""
endfunc

func Test_paste_onechar()

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4218,
/**/
    4217,
/**/
"
Out-of-bounds Read in vim/vim,CVE-2022-0393,CWE-125: Out-of-bounds Read,"    static void
delete_buff_tail(buffheader_T *buf, int slen)
{
    int len;

    if (buf->bh_curr == NULL || buf->bh_curr->b_str == NULL)
 return;  // nothing to delete
    len = (int)STRLEN(buf->bh_curr->b_str);
    if (len >= slen)
    {
 buf->bh_curr->b_str[len - slen] = NUL;
  bwipe!
endfunc

func Test_record_in_select_mode()
  new
  call setline(1, 'text')
  sil norm q00
  sil norm q
  call assert_equal('0ext', getline(1))
  bwipe!
endfunc

"" Make sure that y_append is correctly reset
"" and the previous register is working as expected
func Test_register_y_append_reset()

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4233,
/**/
    4232,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2022-0407,CWE-122: Heap-based Buffer Overflow,"    {
 int s = bd->textlen + bd->endspaces;

 while (s > 0 && VIM_ISWHITE(*(bd->textstart + s - 1)))
 {
     s = s - (*mb_head_off)(bd->textstart, bd->textstart + s - 1) - 1;
     pnew--;
  bw!
endfunc

func Test_visual_block_yank_zy()
  new
  "" this was reading before the start of the line
  exe ""norm o\<C-T>\<Esc>\<C-V>zy""
  bwipe!
endfunc

func Test_visual_block_with_virtualedit()
  CheckScreendump


static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4219,
/**/
    4218,
/**/
"
Stack-based Buffer Overflow in vim/vim,CVE-2022-0408,CWE-121: Stack-based Buffer Overflow,"
// Check the maximum score, if we go over it we won't try this change.
#define TRY_DEEPER(su, stack, depth, add) \
    (depth < MAXWLEN && stack[depth].ts_score + (add) < su->su_maxscore)

/*
 * Try finding suggestions by adding/removing/swapping letters.
    char_u changename[MAXWLEN][80];
#endif
    int  breakcheckcount = 1000;
#ifdef FEAT_RELTIME
    proftime_T time_limit;
#endif
    int  compound_ok;

    // Go through the whole case-fold tree, try changes at each node.
     sp->ts_state = STATE_START;
 }
    }
#ifdef FEAT_RELTIME
    // The loop may take an indefinite amount of time. Break out after five
    // sectonds. TODO: add an option for the time limit.
    profile_setlimit(5000, &time_limit);
#endif

    // Loop to find all suggestions.  At each round we either:
    // - For the current state try one operation, advance ""ts_curi"",

  // At end of a prefix or at start of prefixtree: check for
  // following word.
  if (depth < MAXWLEN
       && (byts[arridx] == 0 || n == (int)STATE_NOPREFIX))
  {
      // Set su->su_badflags to the caps type at this position.
      // Use the caps type until here for the prefix itself.
     {
  ui_breakcheck();
  breakcheckcount = 1000;
#ifdef FEAT_RELTIME
  if (profile_passed_limit(&time_limit))
      got_int = TRUE;
#endif
     }
 }
    }
  set nospell
endfunc

func Test_spellsuggest_too_deep()
  "" This was incrementing ""depth"" over MAXWLEN.
  new
  norm s000G00ý000000000000
  sil norm ..vzG................vvzG0     v z=
  bwipe!
endfunc

func LoadAffAndDic(aff_contents, dic_contents)
  set enc=latin1
  set spellfile=

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4247,
/**/
    4246,
/**/
"
Use After Free in vim/vim,CVE-2022-0413,CWE-416: Use After Free,"    int  save_do_all;  // remember user specified 'g' flag
    int  save_do_ask;  // remember user specified 'c' flag
    char_u *pat = NULL, *sub = NULL; // init for GCC
    char_u *sub_copy = NULL;
    int  delimiter;
    int  sublen;
    int  got_quit = FALSE;
    sub_firstline = NULL;

    /*
     * If the substitute pattern starts with ""\="" then it's an expression.
     * Make a copy, a recursive function may free it.
     * Otherwise, '~' in the substitute pattern is replaced with the old
     * pattern.  We do it here once to avoid it to be replaced over and over
     * again.
     */
    if (sub[0] == '\\' && sub[1] == '=')
    {
 sub = vim_strsave(sub);
 if (sub == NULL)
     return;
 sub_copy = sub;
    }
    else
 sub = regtilde(sub, magic_isset());

    /*
#endif

    vim_regfree(regmatch.regprog);
    vim_free(sub_copy);

    // Restore the flag values, they can be used for "":&&"".
    subflags.do_all = save_do_all;
  bw!
endfunc

"" This was using ""old_sub"" after it was freed.
func Test_using_old_sub()
  set compatible maxfuncdepth=10
  new
  call setline(1, 'some text.')
  func Repl()
    ~
    s/
  endfunc
  silent!  s/\%')/\=Repl()

  delfunc Repl
  bwipe!
  set nocompatible
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4253,
/**/
    4252,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2022-0417,CWE-122: Heap-based Buffer Overflow," int n = atoi((char *)cp);

 // Catch negative values, overflow and ridiculous big values.
 if (n < 0 || n > TABSTOP_MAX)
 {
     semsg(_(e_invalid_argument_str), cp);
     vim_free(*array);
 emsg(_(e_argument_must_be_positive));
 return;
    }
    if (new_ts < 0 || new_ts > TABSTOP_MAX)
    {
 semsg(_(e_invalid_argument_str), eap->arg);
 return;
 errmsg = e_argument_must_be_positive;
 curbuf->b_p_ts = 8;
    }
    else if (curbuf->b_p_ts > TABSTOP_MAX)
    {
 errmsg = e_invalid_argument;
 curbuf->b_p_ts = 8;
    }
    if (p_tm < 0)
    {
 errmsg = e_argument_must_be_positive;
     if (p_vsts && p_vsts != empty_option)
  (void)tabstop_set(p_vsts, &buf->b_p_vsts_array);
     else
  buf->b_p_vsts_array = NULL;
     buf->b_p_vsts_nopaste = p_vsts_nopaste
     ? vim_strsave(p_vsts_nopaste) : NULL;
#endif
     if (buf->b_p_vsts)
  free_string_option(buf->b_p_vsts);
     buf->b_p_vsts = empty_option;
     VIM_CLEAR(buf->b_p_vsts_array);


#endif
 }

  free_string_option(buf->b_p_vsts);
     buf->b_p_vsts = buf->b_p_vsts_nopaste
    ? vim_strsave(buf->b_p_vsts_nopaste) : empty_option;
     vim_free(buf->b_p_vsts_array);

     if (buf->b_p_vsts && buf->b_p_vsts != empty_option)
  (void)tabstop_set(buf->b_p_vsts, &buf->b_p_vsts_array);
     else
  buf->b_p_vsts_array = NULL;
#endif
 }

  call assert_fails('set shiftwidth=-1', 'E487:')
  call assert_fails('set sidescroll=-1', 'E487:')
  call assert_fails('set tabstop=-1', 'E487:')
  call assert_fails('set tabstop=10000', 'E474:')
  call assert_fails('set tabstop=5500000000', 'E474:')
  call assert_fails('set textwidth=-1', 'E487:')
  call assert_fails('set timeoutlen=-1', 'E487:')
  call assert_fails('set updatecount=-1', 'E487:')

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4245,
/**/
    4244,
/**/

#define DICT_MAXNEST 100 // maximum nesting of lists and dicts

#define TABSTOP_MAX 9999

#ifdef FEAT_CLIPBOARD

// VIM_ATOM_NAME is the older Vim-specific selection type for X11.  Still
"
NULL Pointer Dereference in radareorg/radare2,CVE-2022-0419,CWE-476: NULL Pointer Dereference,"
beach:
 r_buf_free (fbuf);
 if (obj) {
  obj->cache_buf = NULL;
 }
 MACH0_(mach0_free) (main_mach0);
 return false;
}
"
Use After Free in vim/vim,CVE-2022-0443,CWE-416: Use After Free,"#endif
    bufref_T newbufref;
    bufref_T prevbufref;
    int  valid;

    setpcmark();
    if ((cmdmod.cmod_flags & CMOD_KEEPALT) == 0)
    // An autocommand may have deleted ""buf"", already entered it (e.g., when
    // it did "":bunload"") or aborted the script processing.
    // If curwin->w_buffer is null, enter_buffer() will make it valid again
    valid = buf_valid(buf);
    if ((valid && buf != curbuf
#ifdef FEAT_EVAL
  && !aborting()
#endif
 ) || curwin->w_buffer == NULL)
    {
 // If the buffer is not valid but curwin->w_buffer is NULL we must
 // enter some buffer.  Using the last one is hopefully OK.
 if (!valid)
     enter_buffer(lastbuf);
 else
     enter_buffer(buf);
#ifdef FEAT_SYN_HL
 if (old_tw != curbuf->b_p_tw)
     check_colorcolumn(curwin);
    clear_string_option(&buf->b_p_vsts);
    vim_free(buf->b_p_vsts_nopaste);
    buf->b_p_vsts_nopaste = NULL;
    VIM_CLEAR(buf->b_p_vsts_array);

    clear_string_option(&buf->b_p_vts);
    VIM_CLEAR(buf->b_p_vts_array);
#endif
  call assert_fails('lrewind', 'E924:')

  augroup! testgroup
  delfunc R
endfunc

func Test_locationlist_cross_tab_jump()
  %bw!
endfunc

"" Weird sequence of commands that caused entering a wiped-out buffer
func Test_lopen_bwipe()
  func R()
    silent! tab lopen
    e x
    silent! lfile
  endfunc

  cal R()
  cal R()
  cal R()
  bw!
  delfunc R
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4281,
/**/
    4280,
/**/
"
Denial of Service in radareorg/radare2,CVE-2022-0476,CWE-400: Denial of Service," return true;
}

static struct minidump_module *read_module(RBuffer *b, ut64 addr) {
 st64 o_addr = r_buf_seek (b, 0, R_BUF_CUR);
 if (r_buf_seek (b, addr, R_BUF_SET) == -1) {
  return NULL;
 }
 struct minidump_module *module = R_NEW0 (struct minidump_module);
 if (!module) {
  return NULL;
 }
 module->base_of_image = r_buf_read_le64 (b);
 module->size_of_image = r_buf_read_le32 (b);
 module->check_sum = r_buf_read_le32 (b);
 module->reserved_0 = r_buf_read_le64 (b);
 module->reserved_1 = r_buf_read_le64 (b);
 r_buf_seek (b, o_addr, R_BUF_SET);
 return module;
}

static void read_memory64_list(RBuffer *b, ut64 addr, struct minidump_memory64_list *memory64_list) {
   0);

  offset = entry->location.rva + sizeof (module_list);
  for (i = 0; i < module_list.number_of_modules && offset < obj->size; i++) {
   struct minidump_module *module = read_module (obj->b, offset);
   if (!module) {
    break; 
   }

   r_list_append (obj->streams.modules, module);
   offset += sizeof (*module);
  }
   0);

  offset = entry->location.rva + sizeof (memory_list);
  for (i = 0; i < memory_list.number_of_memory_ranges && offset < obj->size; i++) {
   struct minidump_memory_descriptor *desc = R_NEW (struct minidump_memory_descriptor);
   if (!desc) {
    break;
   0);

  offset = entry->location.rva + sizeof (thread_ex_list);
  for (i = 0; i < thread_ex_list.number_of_threads && offset < obj->size; i++) {
   struct minidump_thread_ex *thread = R_NEW (struct minidump_thread_ex);
   if (!thread) {
    break;

  obj->streams.memories64.base_rva = memory64_list.base_rva;
  offset = entry->location.rva + sizeof (memory64_list);
  for (i = 0; i < memory64_list.number_of_memory_ranges && offset < obj->size; i++) {
   struct minidump_memory_descriptor64 *desc = R_NEW (struct minidump_memory_descriptor64);
   if (!desc) {
    break;
   ""SizeOfHeader SizeOfEntry NumberOfEntries"", 0);

  offset = entry->location.rva + sizeof (unloaded_module_list);
  for (i = 0; i < unloaded_module_list.number_of_entries && offset < obj->size; i++) {
   struct minidump_unloaded_module *module = R_NEW (struct minidump_unloaded_module);
   if (!module) {
    break;
   0);

  offset = entry->location.rva + sizeof (memory_info_list);
  for (i = 0; i < memory_info_list.number_of_entries && offset < obj->size; i++) {
   struct minidump_memory_info *info = R_NEW (struct minidump_memory_info);
   if (!info) {
    break;
   ""SizeOfHeader SizeOfEntry NumberOfEntries"", 0);

  offset = entry->location.rva + sizeof (thread_info_list);
  for (i = 0; i < thread_info_list.number_of_entries && offset < obj->size; i++) {
   struct minidump_thread_info *info = R_NEW (struct minidump_thread_info);
   if (!info) {
    break;
   ""SizeOfHeader SizeOfEntry NumberOfEntries Reserved"", 0);

  offset = entry->location.rva + sizeof (handle_operation_list);
  for (i = 0; i < handle_operation_list.number_of_entries && offset < obj->size; i++) {
   struct avrf_handle_operation *op = R_NEW (struct avrf_handle_operation);
   if (!op) {
    break;
   ""TokenListSize TokenListEntries ListHeaderSize ElementHeaderSize"", 0);

  offset = entry->location.rva + sizeof (token_info_list);
  for (i = 0; i < token_info_list.number_of_entries && offset < obj->size; i++) {
   struct minidump_token_info *info = R_NEW (struct minidump_token_info);
   if (!info) {
    break;
"
NULL Pointer Dereference in mruby/mruby,CVE-2022-0481,CWE-476: NULL Pointer Dereference,"
  while (tree) {
    if (nint(tree->car->car->car) == NODE_KW_REST_ARGS) {
      if (val && len > 0) {
        pop_n(len*2);
        if (!update) {
          genop_2(s, OP_HASH, cursp(), len);
        push();
      }
      codegen(s, tree->car->cdr, val);
      if (val && (len > 0 || update)) {
        pop(); pop();
        genop_1(s, OP_HASHCAT, cursp());
        push();
"
Heap-based Buffer Overflow in radareorg/radare2,CVE-2022-0518,CWE-122: Heap-based Buffer Overflow," ut64 offset = 0, curpos;
 attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 offset += 6;
 if (buf_offset + offset + 8 > sz) {
  eprintf (""Invalid amount of inner classes\n"");
  return NULL;
 }
 if (attr == NULL) {
  // TODO eprintf
  return attr;
 attr->info.inner_classes_attr.classes = r_list_newf (r_bin_java_inner_classes_attr_entry_free);
 for (i = 0; i < attr->info.inner_classes_attr.number_of_classes; i++) {
  curpos = buf_offset + offset;
  if (buf_offset + offset + 8 > sz) {
   eprintf (""Invalid amount of inner classes\n"");
   break;
  }
"
